,venue,innings,batting_team,bowling_team,batsmen,bowlers,total_run
153,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"SC Ganguly, CH Gayle","MF Maharoof, DL Vettori, PJ Sangwan, A Mishra",50
154,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,"MK Pandey, JH Kallis, R Dravid","RJ Harris, Harmeet Singh, RP Singh, MR Marsh",46
155,"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,"S Dhawan, SR Tendulkar, AT Rayudu","B Lee, IK Pathan, L Ablish, PP Chawla",51
156,"Vidarbha Cricket Association Stadium, Jamtha",1,Chennai Super Kings,Deccan Chargers,"M Vijay, ML Hayden, SK Raina","RJ Harris, RP Singh, RG Sharma, Harmeet Singh, DR Smith",55
157,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"SC Ganguly, CH Gayle, BB McCullum","P Kumar, DW Steyn, JH Kallis",61
158,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,"DA Warner, V Sehwag, G Gambhir, PD Collingwood, KD Karthik","RR Powar, IK Pathan, L Ablish, PP Chawla",45
159,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"ST Jayasuriya, SR Tendulkar, AT Rayudu, SS Tiwary, JP Duminy","YK Pathan, SR Watson, AP Dole, AA Jhunjhunwala",47
160,"Vidarbha Cricket Association Stadium, Jamtha",1,Deccan Chargers,Royal Challengers Bangalore,"HH Gibbs, AC Gilchrist, TL Suman, RG Sharma, MD Mishra","DW Steyn, R Vinay Kumar, JH Kallis",35
161,Brabourne Stadium,1,Mumbai Indians,Delhi Daredevils,"C Madan, SR Tendulkar, SS Tiwary","A Nehra, PJ Sangwan, A Mishra, AB McDonald",44
162,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,"SC Ganguly, CH Gayle, BB McCullum, DJ Hussey, MK Tiwary, AD Mathews","R Ashwin, DE Bollinger",22
163,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"MJ Lumb, NV Ojha, AG Paunikar, SR Watson, AA Jhunjhunwala","A Kumble, DW Steyn, R Vinay Kumar, Pankaj Singh",30
164,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,"M Vijay, ML Hayden, MS Dhoni, SK Raina, MEK Hussey","DP Nannes, A Nehra, UT Yadav",39
165,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Deccan Chargers,"DPMD Jayawardene, SE Marsh, KC Sangakkara","RJ Harris, RP Singh, MR Marsh",43
166,M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"R McLaren, SR Tendulkar","DW Steyn, R Vinay Kumar, Pankaj Singh, JH Kallis",34
167,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"SR Watson, NV Ojha","SE Bond, AB Dinda, M Kartik, JD Unadkat",46
168,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Chennai Super Kings,"DPMD Jayawardene, SE Marsh, KC Sangakkara","S Tyagi, DE Bollinger, JA Morkel, R Ashwin",49
169,Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,"AC Gilchrist, MD Mishra, TL Suman, RG Sharma","DP Nannes, A Nehra, UT Yadav, A Mishra",38
170,Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"AP Tare, S Dhawan, SS Tiwary, JP Duminy","SE Bond, AB Dinda, JD Unadkat, SC Ganguly",42
171,Dr DY Patil Sports Academy,1,Mumbai Indians,Royal Challengers Bangalore,"S Dhawan, SR Tendulkar, AM Nayar, AT Rayudu","P Kumar, DW Steyn, R Vinay Kumar",54
172,Dr DY Patil Sports Academy,1,Chennai Super Kings,Deccan Chargers,"M Vijay, ML Hayden, S Badrinath, SK Raina, MS Dhoni","A Symonds, RJ Harris, RP Singh",39
173,Dr DY Patil Sports Academy,1,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist, Anirudh Singh, MD Mishra, RG Sharma, A Symonds","A Kumble, P Kumar, DW Steyn",27
174,Dr DY Patil Sports Academy,1,Chennai Super Kings,Mumbai Indians,"M Vijay, ML Hayden","Harbhajan Singh, SL Malinga, Z Khan, CRD Fernando",40
175,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,"S Anirudha, M Vijay, SK Raina","Iqbal Abdulla, YK Pathan, L Balaji, JH Kallis",45
176,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,"S Dhawan, IR Jaggi, KC Sangakkara, B Chipli","JDP Oram, A Singh, J Botha, SK Trivedi",44
177,Nehru Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,"BB McCullum, VVS Laxman","Z Khan, DP Nannes, DL Vettori, TM Dilshan, A Mithun",61
178,Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,"DA Warner, V Sehwag, UBT Chand, AJ Finch, NV Ojha","Harbhajan Singh, SL Malinga, AG Murtaza, MM Patel",38
179,Dr DY Patil Sports Academy,1,Kings XI Punjab,Pune Warriors,"AC Gilchrist, SE Marsh, PC Valthaty, KD Karthik, AM Nayar, Sunny Singh","AC Thomas, SB Wagh, WD Parnell, M Kartik",36
180,Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,"JH Kallis, MS Bisla","DW Steyn, I Sharma, DT Christian",46
181,Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,"DA Warner, V Sehwag, AJ Finch, UBT Chand","SW Tait, A Singh, J Botha, SK Trivedi",30
182,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"MA Agarwal, V Kohli, TM Dilshan, AB de Villiers","SL Malinga, MM Patel, KA Pollard, AG Murtaza",24
183,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,"S Anirudha, SK Raina, S Badrinath, M Vijay","P Kumar, RJ Harris, R McLaren",31
184,Dr DY Patil Sports Academy,1,Kochi Tuskers Kerala,Pune Warriors,"BB McCullum, PA Patel, VVS Laxman, DPMD Jayawardene, BJ Hodge, RA Jadeja","AC Thomas, SB Wagh, WD Parnell",37
185,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,"S Sohal, S Dhawan, KC Sangakkara","Z Khan, JJ van der Wath, S Aravind, DL Vettori",41
186,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"AG Paunikar, R Dravid, AL Menaria","B Lee, L Balaji, JH Kallis, Shakib Al Hasan",31
187,Wankhede Stadium,1,Mumbai Indians,Kochi Tuskers Kerala,"DJ Jacobs, SR Tendulkar","RP Singh, R Vinay Kumar, NLTC Perera",44
188,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,"MEK Hussey, M Vijay","Z Khan, DL Vettori, JJ van der Wath, TM Dilshan",45
189,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,"S Sohal, S Dhawan, KC Sangakkara","P Kumar, RJ Harris, R McLaren",48
190,Dr DY Patil Sports Academy,1,Pune Warriors,Delhi Daredevils,"JD Ryder, GC Smith, M Manhas","Y Venugopal Rao, AB Dinda, IK Pathan, UT Yadav",63
191,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"SR Watson, AG Paunikar, FY Fazal, AS Raut","B Lee, Shakib Al Hasan, L Balaji, Iqbal Abdulla",36
192,Nehru Stadium,1,Chennai Super Kings,Kochi Tuskers Kerala,"MEK Hussey, M Vijay, SK Raina","RP Singh, R Vinay Kumar, NLTC Perera",42
193,Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,"S Sohal, S Dhawan, KC Sangakkara","AB Dinda, IK Pathan, M Morkel",43
194,Wankhede Stadium,1,Pune Warriors,Mumbai Indians,"JD Ryder, TD Paine, M Manhas, RV Uthappa, Yuvraj Singh, MD Mishra","AG Murtaza, SL Malinga, AN Ahmed, MM Patel",33
195,Eden Gardens,1,Kochi Tuskers Kerala,Kolkata Knight Riders,"BB McCullum, DPMD Jayawardene","B Lee, L Balaji, Iqbal Abdulla, Shakib Al Hasan",45
196,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,"AC Gilchrist, PC Valthaty, SE Marsh","SK Trivedi, SW Tait, SK Warne, SR Watson",77
197,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"R Sathish, SR Tendulkar, AT Rayudu, RG Sharma","JA Morkel, DE Bollinger, Joginder Sharma",40
198,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"JH Kallis, BJ Haddin, G Gambhir","Z Khan, S Aravind, J Syed Mohammad, TM Dilshan",50
199,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,"DA Warner, V Sehwag","P Kumar, RJ Harris, SJ Srivastava",70
200,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,"DJ Jacobs, SR Tendulkar","A Mishra, DW Steyn, PP Ojha, I Sharma, DT Christian",57
201,Sawai Mansingh Stadium,1,Kochi Tuskers Kerala,Rajasthan Royals,"DPMD Jayawardene, VVS Laxman, PA Patel, BJ Hodge","A Singh, SR Watson, J Botha",32
202,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Pune Warriors,"M Vijay, MEK Hussey","NL McCullum, JE Taylor, AC Thomas, M Kartik",45
203,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,"DA Warner, V Sehwag, JR Hopes","Z Khan, S Aravind",42
204,Dr DY Patil Sports Academy,1,Pune Warriors,Chennai Super Kings,"JD Ryder, MD Mishra, M Manhas, MK Pandey, Yuvraj Singh","KMDN Kulasekara, DE Bollinger, TG Southee",37
205,Nehru Stadium,1,Deccan Chargers,Kochi Tuskers Kerala,"S Sohal, S Dhawan, B Chipli, KC Sangakkara","RP Singh, S Sreesanth, R Vinay Kumar",20
206,Feroz Shah Kotla,1,Kolkata Knight Riders,Delhi Daredevils,"JH Kallis, SP Goswami, G Gambhir","IK Pathan, M Morkel, UT Yadav",42
207,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"DJ Jacobs, SR Tendulkar, AT Rayudu, RG Sharma","AL Menaria, A Singh, SR Watson",31
208,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,"CH Gayle, TM Dilshan","AC Thomas, JE Taylor, Kamran Khan",57
209,Nehru Stadium,1,Delhi Daredevils,Kochi Tuskers Kerala,"DA Warner, NV Ojha, Y Venugopal Rao, V Sehwag","RP Singh, S Sreesanth",34
210,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"AC Gilchrist, PC Valthaty, SE Marsh","B Lee, L Balaji, Iqbal Abdulla, YK Pathan",40
211,Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,"JD Ryder, MK Pandey, RV Uthappa","J Botha, AL Menaria, SR Watson, A Singh, SK Warne",49
212,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,"M Vijay, MEK Hussey, SK Raina","JP Duminy, DT Christian, I Sharma, PP Ojha",34
213,Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,"DJ Jacobs, SR Tendulkar, AT Rayudu","BA Bhatt, P Kumar, Bipul Sharma",35
214,Feroz Shah Kotla,1,Delhi Daredevils,Kochi Tuskers Kerala,"DA Warner, V Sehwag, NV Ojha, Y Nagar","RP Singh, S Sreesanth, P Parameswaran",42
215,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,"EJG Morgan, JH Kallis, G Gambhir","DT Christian, DW Steyn, I Sharma",41
216,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,"SR Watson, R Dravid","JA Morkel, DE Bollinger, R Ashwin",47
217,Dr DY Patil Sports Academy,1,Mumbai Indians,Pune Warriors,"AC Blizzard, SR Tendulkar, AT Rayudu","AC Thomas, SB Wagh, JE Taylor",49
218,Nehru Stadium,1,Kochi Tuskers Kerala,Kolkata Knight Riders,"BB McCullum, M Klinger, PA Patel, DPMD Jayawardene","B Lee, JD Unadkat, Iqbal Abdulla",35
219,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,"S Dhawan, DB Ravi Teja, KC Sangakkara","M Morkel, IK Pathan, AM Salvi",43
220,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"CH Gayle, TM Dilshan, V Kohli","P Kumar, RJ Harris, R McLaren",48
221,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"MEK Hussey, M Vijay, SK Raina, S Badrinath","B Lee, Iqbal Abdulla, YK Pathan",15
222,Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"AC Blizzard, SR Tendulkar, AT Rayudu","M Morkel, IK Pathan, AB Agarkar",50
223,M Chinnaswamy Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,"M Klinger, BB McCullum, PA Patel","Z Khan, S Aravind, CH Gayle, DL Vettori",49
224,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Pune Warriors,"AC Gilchrist, PC Valthaty, SE Marsh","B Kumar, SB Wagh, WD Parnell, R Sharma",34
225,Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"MEK Hussey, M Vijay","AL Menaria, A Singh, SR Watson, J Botha",55
226,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Pune Warriors,"S Dhawan, DB Ravi Teja","B Kumar, SB Wagh, WD Parnell, R Sharma",50
227,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,"PC Valthaty, AC Gilchrist, SE Marsh","Harbhajan Singh, SL Malinga, MM Patel",39
228,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"SR Watson, R Dravid","Z Khan, S Aravind, CK Langeveldt",43
229,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,"MEK Hussey, M Vijay, SK Raina","IK Pathan, AB McDonald, VR Aaron, AB Agarkar",42
230,Holkar Cricket Stadium,1,Kochi Tuskers Kerala,Kings XI Punjab,"BB McCullum, DPMD Jayawardene","RJ Harris, BA Bhatt, Bipul Sharma, SJ Srivastava",62
231,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"JH Kallis, EJG Morgan, G Gambhir, MK Tiwary, YK Pathan","Z Khan, CK Langeveldt, S Aravind",33
232,Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,"MJ Lumb, KC Sangakkara, S Sohal","SL Malinga, MM Patel, Harbhajan Singh, DS Kulkarni",32
233,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,"PC Valthaty, AC Gilchrist, SE Marsh","IK Pathan, M Morkel, VR Aaron, AM Salvi",43
234,Holkar Cricket Stadium,1,Rajasthan Royals,Kochi Tuskers Kerala,"FY Fazal, R Dravid, AM Rahane, SR Watson, AL Menaria","RP Singh, S Sreesanth",32
235,Dr DY Patil Sports Academy,1,Pune Warriors,Deccan Chargers,"JD Ryder, MK Pandey, SC Ganguly, RV Uthappa","JP Duminy, DW Steyn, I Sharma, DT Christian",39
236,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"PC Valthaty, AC Gilchrist, SE Marsh","JJ van der Wath, CK Langeveldt, CH Gayle, S Aravind",30
237,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kochi Tuskers Kerala,"MEK Hussey, M Vijay, SK Raina","RP Singh, S Sreesanth, M Muralitharan",41
238,Dr DY Patil Sports Academy,1,Pune Warriors,Kolkata Knight Riders,"JD Ryder, MK Pandey, CJ Ferguson, SC Ganguly","B Lee, YK Pathan, Iqbal Abdulla, JH Kallis",29
239,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"TL Suman, SR Tendulkar, AT Rayudu, RG Sharma","AA Chavan, SR Watson",26
240,Himachal Pradesh Cricket Association Stadium,1,Deccan Chargers,Kings XI Punjab,"S Dhawan, DB Ravi Teja","P Kumar, RJ Harris, BA Bhatt",58
241,M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"MEK Hussey, M Vijay, SK Raina, S Badrinath, WP Saha","Z Khan, S Aravind, DL Vettori",23
242,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"JH Kallis, SP Goswami, G Gambhir, MK Tiwary","AN Ahmed, SL Malinga, Harbhajan Singh, RW Price",46
243,Wankhede Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"MA Agarwal, CH Gayle, V Kohli","JA Morkel, DE Bollinger, R Ashwin",44
244,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"G Gambhir, JH Kallis, SP Goswami, MK Tiwary, YK Pathan, RN ten Doeschate","DS Kulkarni, MM Patel, Harbhajan Singh, SL Malinga",25
245,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Mumbai Indians,"MA Agarwal, CH Gayle","AN Ahmed, Harbhajan Singh, SL Malinga, MM Patel",68
246,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,"MEK Hussey, M Vijay","Z Khan, S Aravind, CH Gayle, J Syed Mohammad",56
247,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,"F du Plessis, M Vijay, SK Raina, DJ Bravo","SL Malinga, AN Ahmed, Harbhajan Singh, JEC Franklin",42
248,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"BB McCullum, JH Kallis, G Gambhir, MK Tiwary, YK Pathan, DB Das","IK Pathan, RE van der Merwe, M Morkel, UT Yadav, GJ Maxwell",46
249,Wankhede Stadium,1,Pune Warriors,Mumbai Indians,"MK Pandey, WD Parnell, SC Ganguly, RV Uthappa, CJ Ferguson","SL Malinga, Harbhajan Singh, MM Patel, PP Ojha",30
250,Sawai Mansingh Stadium,1,Rajasthan Royals,Kings XI Punjab,"R Dravid, AM Rahane","P Kumar, JP Faulkner, PP Chawla",57
251,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"AB McDonald, CA Pujara, V Kohli","IK Pathan, DAJ Bracewell, M Morkel, UT Yadav",46
252,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Chennai Super Kings,Deccan Chargers,"M Vijay, SK Raina, F du Plessis, S Badrinath","Ankit Sharma, DW Steyn, MS Gony, DT Christian",44
253,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"R Dravid, AM Rahane, SP Goswami","B Lee, JH Kallis, SP Narine, Iqbal Abdulla",37
254,Subrata Roy Sahara Stadium,1,Pune Warriors,Kings XI Punjab,"JD Ryder, SC Ganguly, MN Samuels, RV Uthappa","P Kumar, JP Faulkner, AD Mascarenhas",38
255,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Deccan Chargers,Mumbai Indians,"PA Patel, S Dhawan, B Chipli, DT Christian","Harbhajan Singh, MM Patel, SL Malinga, PP Ojha",45
256,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"JH Kallis, G Gambhir","Z Khan, R Vinay Kumar, HV Patel, M Muralitharan",60
257,Feroz Shah Kotla,1,Chennai Super Kings,Delhi Daredevils,"F du Plessis, SK Raina, S Badrinath","IK Pathan, UT Yadav, M Morkel",41
258,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"RE Levi, TL Suman, RG Sharma","AA Chavan, A Singh, KK Cooper",54
259,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,"MA Agarwal, CH Gayle, V Kohli","R Ashwin, DE Bollinger, JA Morkel",56
260,"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Kings XI Punjab,"JD Ryder, SC Ganguly, MN Samuels, RV Uthappa, AD Mathews","P Kumar, P Awana, AD Mascarenhas",29
261,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"R Dravid, AM Rahane","L Balaji, JH Kallis, SP Narine",45
262,Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,"KC Sangakkara, S Dhawan, PA Patel","IK Pathan, KP Pietersen, M Morkel, AB Agarkar",50
263,Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,"F du Plessis, M Vijay","M Kartik, AB Dinda, A Nehra, R Sharma, MN Samuels",43
264,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"AC Gilchrist, Mandeep Singh, SE Marsh, DJ Hussey","YK Pathan, JH Kallis, SP Narine",26
265,M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"R Dravid, AM Rahane","Z Khan, S Aravind, R Vinay Kumar",43
266,Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"RE Levi, DJ Jacobs, RG Sharma, AT Rayudu","IK Pathan, S Nadeem, M Morkel",23
267,Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,"KC Sangakkara, S Dhawan","Pankaj Singh, A Singh, J Botha",57
268,M Chinnaswamy Stadium,1,Pune Warriors,Royal Challengers Bangalore,"RV Uthappa, JD Ryder","Z Khan, TM Dilshan, R Vinay Kumar, HV Patel, DL Vettori",58
269,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,"AC Gilchrist, PC Valthaty, SE Marsh, Mandeep Singh","B Lee, JH Kallis, SP Narine",45
270,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,"DJ Harris, S Dhawan, KC Sangakkara, CL White","AD Russell, IK Pathan, M Morkel, VR Aaron",33
271,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Pune Warriors,"F du Plessis, S Badrinath","M Kartik, A Nehra, B Kumar, MN Samuels",42
272,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,"N Saini, PC Valthaty, SE Marsh, DJ Hussey","Z Khan, R Vinay Kumar, HV Patel",41
273,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,"R Dravid, AM Rahane, OA Shah","KMDN Kulasekara, DE Bollinger, DJ Bravo, R Ashwin",41
274,Feroz Shah Kotla,1,Pune Warriors,Delhi Daredevils,"RV Uthappa, JD Ryder, SC Ganguly","IK Pathan, S Nadeem, M Morkel, UT Yadav",52
275,Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,"JEC Franklin, SR Tendulkar","P Kumar, BA Bhatt, P Awana, Azhar Mahmood",39
276,Barabati Stadium,1,Deccan Chargers,Kolkata Knight Riders,"KC Sangakkara, S Dhawan, PA Patel","YK Pathan, B Lee, SP Narine, L Balaji",39
277,Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"V Kohli, TM Dilshan, MA Agarwal","A Chandila, Pankaj Singh, KK Cooper",37
278,Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Daredevils,"JD Ryder, SC Ganguly, MK Pandey, RV Uthappa","IK Pathan, M Morkel, UT Yadav",28
279,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,"N Saini, Mandeep Singh, SE Marsh","RJ Peterson, RP Singh, CJ McKay, MM Patel",44
280,Subrata Roy Sahara Stadium,1,Deccan Chargers,Pune Warriors,"PA Patel, S Dhawan, CL White","A Nehra, AC Thomas, MN Samuels, B Kumar",50
281,Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,"DPMD Jayawardene, V Sehwag","SL Malinga, RP Singh, R Shukla",54
282,"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,"Mandeep Singh, SE Marsh","KMDN Kulasekara, JA Morkel, R Ashwin, SB Jakati",43
283,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"BB McCullum, G Gambhir","Z Khan, DL Vettori, KP Appanna, R Vinay Kumar",46
284,Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,"DPMD Jayawardene, V Sehwag, KP Pietersen, LRPL Taylor","AA Chavan, Pankaj Singh, A Singh, KK Cooper",42
285,Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,"PA Patel, S Dhawan, IR Jaggi","Harbhajan Singh, RP Singh, MM Patel, SL Malinga",38
286,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,"F du Plessis, MEK Hussey, SK Raina, DJ Bravo","Iqbal Abdulla, B Lee, YK Pathan, SP Narine",43
287,Barabati Stadium,1,Deccan Chargers,Pune Warriors,"PA Patel, CL White, S Dhawan, KC Sangakkara","MN Samuels, WD Parnell, A Nehra, B Kumar",33
288,Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Daredevils,"R Dravid, AM Rahane","IK Pathan, UT Yadav, M Morkel, S Nadeem",56
289,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"MA Agarwal, V Kohli, CH Gayle","P Kumar, RJ Harris, P Awana",33
290,Subrata Roy Sahara Stadium,1,Mumbai Indians,Pune Warriors,"JEC Franklin, SR Tendulkar","M Kartik, AB Dinda, WD Parnell, B Kumar, A Nehra",42
291,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,"F du Plessis, M Vijay, SK Raina","Ankit Sharma, DW Steyn, V Pratap Singh, DT Christian",56
292,Eden Gardens,1,Kolkata Knight Riders,Pune Warriors,"G Gambhir, BB McCullum","M Kartik, AB Dinda, B Kumar, WD Parnell",68
293,"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,"R Dravid, AM Rahane, SR Watson","P Kumar, RJ Harris, P Awana",64
294,Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,"M Vijay, F du Plessis","RJ Peterson, RP Singh, MM Patel, SL Malinga",52
295,M Chinnaswamy Stadium,1,Deccan Chargers,Royal Challengers Bangalore,"DJ Harris, S Dhawan","Z Khan, A Mithun, P Parameswaran",46
296,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"DA Warner, V Sehwag, DPMD Jayawardene, LRPL Taylor","B Lee, PJ Sangwan, JH Kallis, SP Narine",50
